tweet_id,username,text,hashtags,links
1645254049757790208,ToysAndGames13,"link yemen war saudihouthi talks bring hope of cea #news #short #shortnews #breaking #breakingnews
20230410 063506812023 ","['news', 'short', 'shortnews', 'breaking', 'breakingnews']","['https://t.co/1VOql5ECV6', 'https://t.co/pFoEdUOz9G']"
1645254044359720960,InterestingBuy,"link tiger woods withdraws from masters due to injur #news #short #shortnews #breaking #breakingnews
20230410 063505683222 ","['news', 'short', 'shortnews', 'breaking', 'breakingnews']","['https://t.co/LaxavPxK8c', 'https://t.co/YoUc6ZPA4P']"
1645254039829880833,Product_for_you,"link new jersey governor declares state a safe have #news #short #shortnews #breaking #breakingnews
20230410 063504636570 ","['news', 'short', 'shortnews', 'breaking', 'breakingnews']","['https://t.co/Tk9eN0nlGm', 'https://t.co/WrfzY4jIVw']"
1645253955285549058,markdamon77,#breakingnews the district attorney office in austin texas denounces efforts by gov abbott to pardon daniel perry in the shooting of an black lives matter protester a jury gets to decide whether a defendant is guilty or innocent not the governor,['breakingnews'],[]
1645253899299766273,kkelly120_kim,#breakingnews the district attorney office in austin texas denounces efforts by gov abbott to pardon daniel perry in the shooting of an black lives matter protester a jury gets to decide whether a defendant is guilty or innocent not the governor,['breakingnews'],[]
1645253822430998528,Indukgmk,#breakingnews putting me in jail is not the solution for the army they want to murder me claims ex pakistan pm imran khan exclusive input by manojkumargupta abhishekjha157 shares details with anjalipandey06 #pakistan #pakistanarmy #imrankhan #nawazsharif ,"['breakingnews', 'pakistan', 'pakistanarmy', 'imrankhan', 'nawazsharif']",['https://t.co/Tr44e7XSvH']
1645253775618088962,TheNRHour_,"#breakingnews
the super bowl champ
odell beckham jr is heading to the ravens the deal is for one year the deal is worth 15 million click on the link below
obj ravens nfl #vibethesportsreporter ","['breakingnews', 'vibethesportsreporter']","['https://t.co/ajasqwzl35', 'https://t.co/mSfyzYRvSq']"
1645253472869322752,TrickyTanner,#breakingnews the district attorney office in austin texas denounces efforts by gov abbott to pardon daniel perry in the shooting of an black lives matter protester a jury gets to decide whether a defendant is guilty or innocent not the governor,['breakingnews'],[]
1645253413272158214,elleesttrois, the young turks #breakingnews yet another government agency fighting to bail out big business april 9 2023 at 0700pm #tytlive #cenkuygur #anakasparian ,"['breakingnews', 'tytlive', 'cenkuygur', 'anakasparian']","['https://t.co/HOxD7LLHaS', 'https://t.co/NtHK9MBbjI']"
1645253396159664128,mccogan,#breakingnews the district attorney office in austin texas denounces efforts by gov abbott to pardon daniel perry in the shooting of an black lives matter protester a jury gets to decide whether a defendant is guilty or innocent not the governor,['breakingnews'],[]
1645253372851658752,Anthony60957284,#breakingnews the district attorney office in austin texas denounces efforts by gov abbott to pardon daniel perry in the shooting of an black lives matter protester a jury gets to decide whether a defendant is guilty or innocent not the governor,['breakingnews'],[]
1645253357617946624,faidr,#breaking the pentagon is investigating a leak of dozens of highly classified and top secret documents exposing the united states spying efforts on allies and adversaries #breakingnews ,"['breaking', 'breakingnews']",['https://t.co/xEcVKfMDjw']
1645253202986639360,fix_newspeak,law roach on the grief experienced following retirement a part of me died #trendingnow #hottopics #trending #news #newsupdate #forumidex #myforumlink #breakingnews,"['trendingnow', 'hottopics', 'trending', 'news', 'newsupdate', 'forumidex', 'myforumlink', 'breakingnews']",['https://t.co/0nOlFziPUT']
1645253173299367936,TimeBlogxyz,austins sorosbacked da #blasts #texas gov #greg abbotts #plan to #pardon #soldier #convicted of #killing #abbotts #austins #blacklivesmatter #breakingnews #dailymail #gov #latestnews #news #sorosbacked #tazamind #todaynews #twitter,"['blasts', 'texas', 'greg', 'plan', 'pardon', 'soldier', 'convicted', 'killing', 'abbotts', 'austins', 'blacklivesmatter', 'breakingnews', 'dailymail', 'gov', 'latestnews', 'news', 'sorosbacked', 'tazamind', 'todaynews', 'twitter']",['https://t.co/8vKBSx2WTb']
1645253142588846085,MeanLILMeoW,#breaking 2 hospitalized after 11 car norfolk southern train derailment in jasper alabama diesel and engine fuel spilled #breakingnews bill castle ,"['breaking', 'breakingnews']",['https://t.co/n6B8wosIHx']
1645254020087566336,trilobite_1970,so for a cm in waiting in rajasthan his first target appears to be ashokgehlot51 rather than the bjp what likes of ghulam azad and few others are doing from outside the party a few disgruntled elements doing from within to distract and damage the party #politics,['politics'],[]
1645253402644054016,JennaLUSA,the west block april 9 2023 what trumps charges mean for us politics and canadas role in the future of space travel #uspolitics #uspoliticstoday #politics #politicsnews #politicstoday video ,"['uspolitics', 'uspoliticstoday', 'politics', 'politicsnews', 'politicstoday']",['https://t.co/7gKRS7xcKd']
1645253394234241026,MrDSutton1,ummm his team record was the best in the nba thez numbers mvp #politics ,['politics'],['https://t.co/o7apHCHFqL']
1645253077694398464,MagicalUnicorns,enough is enough yard sign #politics #black #lives #matter #blacklivesmatter ,"['politics', 'black', 'lives', 'matter', 'blacklivesmatter']",['https://t.co/b9NxtCspt0']
1645253026863804418,AbigailMCND,tougher womens hockey competition looming despite north american dominance #canadanews #politics #canpoli #cdnnews video ,"['canadanews', 'politics', 'canpoli', 'cdnnews']",['https://t.co/yxDLLe6aPF']
1645252914477420544,NancyGCND,tougher womens hockey competition looming despite north american dominance #canadanews #politics #canpoli #cdnnews video ,"['canadanews', 'politics', 'canpoli', 'cdnnews']",['https://t.co/aPLMa4xb9A']
1645252782721740800,Terhas51556408,can abiy reverse the distrust of his government in ethiopia amp disarm the regions without political agreement amp constitutional reform is ethiopia heading towards a collision course #ethiopia #politics #reform ,"['ethiopia', 'politics', 'reform']",['https://t.co/xYN0cNTCl5']
1645252765340319746,CraigHuey,congresswoman alexandria ocasiocortezs proposal to draft an impeachment article against supreme court justice clarence thomas highlights the ongoing political tension surrounding the judiciary branch #politics #scotus #impeachment read more ,"['politics', 'scotus', 'impeachment']","['https://t.co/KSMeplttT9', 'https://t.co/bxb0ZRdpO9']"
1645252688987209730,Cjtats1975,#politics is the means to achieve greater or lesser ends but the greater and lesser ends are beyond the realm of politics itself the intent to oppress a people and to become enriched by it is initiated before the political process is set in place over time if the provision of ,['politics'],['https://t.co/Npt04Lqjwz']
1645252419826372610,Tomterrific87,america has seen dementia joe over the past 2 yrs having trouble walking across a room to find his mark he often needs an escort to get there then he cant find his way out of the room how is dementia joe going to save us from ww3 #trump #congress #politics,"['trump', 'congress', 'politics']",[]
1645252408849625089,viralnews_osint,lamar jackson odell beckham jr facetime after star wr joins ravens #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/CYYg1Q5HV6']
1645252406874189824,viralnews_osint,rutgers faculty strikes 9000 educators to walk off job affecting 67000 students #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/Q97NjZFghJ']
1645252404537958400,viralnews_osint,jon rahm wins his first masters #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/wKAufwMTvt']
1645252127613243392,VividAlerts,most engaging tweet from narendramodi for the week 92774 retweets and likes #politics #dontmissthetweet #tweetalerts ,"['politics', 'dont_miss_the_tweet', 'tweetalerts']",['https://t.co/5Bz3L5Mokf']
1645251936071958534,holointerior,what if #politics was a deliberately divisive force meant to pit your selfinterests between two opposing sides so a nation could never consistently move in one direction maybe so that ruling elites were able to reliably shift power between themselves every 48 years ,['politics'],[]
1645254099712212993,CryptoConvoss, dont miss out on our joyful #iptv easter event get exclusive access to all your favorite tv shows #movies and #sports events at an unbeatable price #easter #pascua #championsleague #uefa #sales #resurreccion #eastersunday #ucl ,"['iptv', 'movies', 'sports', 'easter', 'pascua', 'championsleague', 'uefa', 'sales', 'resurreccion', 'eastersunday', 'ucl']",['https://t.co/FWNO0U0sVu']
1645253827095072768,mdrabiul4005,i have found x100 gem buy amp sell sports predictions in a fully decentralized manner presale price is only 0005 25k giveaway #betx #ico #presale #crypto #cryptocurrency #ido #sports #x100gem #cryptogems #giveaway,"['betx', 'ico', 'presale', 'crypto', 'cryptocurrency', 'ido', 'sports', 'x100gem', 'cryptogems', 'giveaway']",['https://t.co/FYHHB1eEHF']
1645253753065594885,dilip_gharami,i will create animated motion graphics event club sports concert poster flyer order now #i #will #create #animated #motion #graphics #event #club #sports #concert #poster #flyer ,"['i', 'will', 'create', 'animated', 'motion', 'graphics', 'event', 'club', 'sports', 'concert', 'poster', 'flyer']","['https://t.co/7h2oSPwuau', 'https://t.co/ebJnzGWYC4']"
1645253539428458496,66Mhz,how did i only win 6 on this beauty hello i still am the of prizepicks but this dont make sense follow like and retweet to win like i do and buy premium only 5 for life #prizepicks #csgo #nba #nhl #capper #sports #betting #gamblingtwitter #fanduel #mlb #daterush ye ,"['prizepicks', 'csgo', 'nba', 'nhl', 'capper', 'sports', 'betting', 'gamblingtwitter', 'fanduel', 'mlb', 'daterush']",['https://t.co/iZqi0liB9m']
1645253324839723009,SFAB00515367,jayykissi socceram love seeing athletes crush it on social media keep up the great work speaking of great athletes have you heard of primal its the first sports brand to integrate #ai into its products revolutionizing the game for athletes everywhere #sports #move2earn #innovation,"['ai', 'sports', 'move2earn', 'innovation']",[]
1645253074989068288,121reggae,seru rabeni fijian rugby union player died at 37 ratu seru raveive rabeni was born on december 27 1978 #sports,['sports'],['https://t.co/wwQof3c6CB']
1645253070220324864,Reporters_Large,israel adesanya knocks out alex pereira in second round to recapture ufc title alex pereiras dominance was broken and israel adesanya was #sports #alexpereira #israeladesanya,"['sports', 'alexpereira', 'israeladesanya']",['https://t.co/wSjILAYROY']
1645252974376022016,PrimeObito,how did i only win 6 on this beauty hello i still am the of prizepicks but this dont make sense follow like and retweet to win like i do and buy premium only 5 for life #prizepicks #csgo #nba #nhl #capper #sports #betting #gamblingtwitter #fanduel #mlb #daterush ye ,"['prizepicks', 'csgo', 'nba', 'nhl', 'capper', 'sports', 'betting', 'gamblingtwitter', 'fanduel', 'mlb', 'daterush']",['https://t.co/iZqi0liB9m']
1645252969988849664,SpinBurst,how did i only win 6 on this beauty hello i still am the of prizepicks but this dont make sense follow like and retweet to win like i do and buy premium only 5 for life #prizepicks #csgo #nba #nhl #capper #sports #betting #gamblingtwitter #fanduel #mlb #daterush ye ,"['prizepicks', 'csgo', 'nba', 'nhl', 'capper', 'sports', 'betting', 'gamblingtwitter', 'fanduel', 'mlb', 'daterush']",['https://t.co/iZqi0liB9m']
1645252969556738049,ThunderclapDash,how did i only win 6 on this beauty hello i still am the of prizepicks but this dont make sense follow like and retweet to win like i do and buy premium only 5 for life #prizepicks #csgo #nba #nhl #capper #sports #betting #gamblingtwitter #fanduel #mlb #daterush ye ,"['prizepicks', 'csgo', 'nba', 'nhl', 'capper', 'sports', 'betting', 'gamblingtwitter', 'fanduel', 'mlb', 'daterush']",['https://t.co/iZqi0liB9m']
1645252698890010629,C_Kennedy, visit find your sport register to compete #sports #youthsports #beanathlete #goforthegold #iowagames ,"['sports', 'youthsports', 'beanathlete', 'goforthegold', 'iowagames']","['https://t.co/iTnduRNrKF', 'https://t.co/Ohz5ntH44I']"
1645252668770725890,ChuckLongIowa, visit find your sport register to compete #sports #youthsports #beanathlete #goforthegold #iowagames ,"['sports', 'youthsports', 'beanathlete', 'goforthegold', 'iowagames']","['https://t.co/iTnduRNrKF', 'https://t.co/Ohz5ntH44I']"
1645252655982460928,ShuvoBi20288620,i have found x100 gem buy amp sell sports predictions in a fully decentralized manner presale price is only 0005 25k giveaway #betx #ico #presale #crypto #cryptocurrency #ido #sports #x100gem #cryptogems #giveaway,"['betx', 'ico', 'presale', 'crypto', 'cryptocurrency', 'ido', 'sports', 'x100gem', 'cryptogems', 'giveaway']",['https://t.co/wU9aYm7FWn']
1645252526441127937,suxx2suc003,"was looking up this video i had found describing who fatima diame is idky it playin sad ass music tho but i had seen this with it why do we need a who wore it better real shady
#fatimadiame #sports ","['fatimadiame', 'sports']","['https://t.co/4lYEabgbAh', 'https://t.co/6wSz3NPxXq']"
1645252408849625089,viralnews_osint,lamar jackson odell beckham jr facetime after star wr joins ravens #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/CYYg1Q5HV6']
1645253743967981568,True_Hero18,new short is up legendary collection check it out here #pokemon #fireworkholo #tcg #pokemontcg #wotc #legendarycollection #youtube #youtubeshorts #content #entertainment ,"['pokemon', 'fireworkholo', 'tcg', 'pokemontcg', 'wotc', 'legendarycollection', 'youtube', 'youtubeshorts', 'content', 'entertainment']","['https://t.co/BgdCc5lH7r', 'https://t.co/tnXQkp2Kd4']"
1645253214915432449,FakzW,"amazing batman eye catchy entry scene subscribe to games world for endless new gaming content
#batman #batmanvsuperman #batmanarkhamknight #batmangame #themarvels #fighting #videos #fightingvideo #entertainment #pc #xbox #ps5 #playstation5 ","['batman', 'batmanvsuperman', 'batmanarkhamknight', 'batmangame', 'themarvels', 'fighting', 'videos', 'fightingvideo', 'entertainment', 'pc', 'xbox', 'ps5', 'playstation5']","['https://t.co/o0j2sH5gSc', 'https://t.co/Wx30iwPxEp']"
1645253197437747200,FakzW,"power of miles morales subscribe to games world for endless new gaming content
#spiderman #spiderman #spidermanacrossthespiderverse #spidermanpc #spidermanps5 #milesmorales #bhai #oops #gaming #games #gameworld #twitch #trending #entertainment #streaming ","['spiderman', 'spiderman', 'spidermanacrossthespiderverse', 'spidermanpc', 'spidermanps5', 'milesmorales', 'bhai', 'oops', 'gaming', 'games', 'gameworld', 'twitch', 'trending', 'entertainment', 'streaming']","['https://t.co/o0j2sH5gSc', 'https://t.co/tvX31psAh5']"
1645252626378809346,Christo09779445,bruce willis joined by demi moore emma heming and five daughters for first birthday after dementia diagnosis #entertainment ,['entertainment'],['https://t.co/NmOjQstaQo']
1645252547039338497,DonutEquivalent,i am live right now on #twitch with candicain222 playing #phasmophobia watch on or #twitchaffiliate #agp #amandagilliampresents #entertainment #survival #horror #indiegame #jumpscares #smallstreamer ,"['twitch', 'phasmophobia', 'twitchaffiliate', 'agp', 'amandagilliampresents', 'entertainment', 'survival', 'horror', 'indiegame', 'jumpscares', 'smallstreamer']","['https://t.co/VGYFIFSpXp', 'https://t.co/c7TAtMpOLv', 'https://t.co/kfbPgyNSOz']"
1645252408849625089,viralnews_osint,lamar jackson odell beckham jr facetime after star wr joins ravens #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/CYYg1Q5HV6']
1645252406874189824,viralnews_osint,rutgers faculty strikes 9000 educators to walk off job affecting 67000 students #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/Q97NjZFghJ']
1645252404537958400,viralnews_osint,jon rahm wins his first masters #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #stock #sp500 ,"['breaking', 'breakingnews', 'politics', 'usa', 'news', 'newsbreak', 'trending', 'entertainment', 'sports', 'hockey', 'baseball', 'tennis', 'football', 'markets', 'stock', 'sp500']",['https://t.co/wKAufwMTvt']
1645252360506318849,abt_live,saskatoons #ribfest not please follow to support #foodprices #saskatoonnews #rotaryclubofsaskatoonnutana #food #festival #saskatchewannews #inflation #fundraiser #canada #eventcancelled #entertainment,"['ribfest', 'foodprices', 'saskatoonnews', 'rotaryclubofsaskatoonnutana', 'food', 'festival', 'saskatchewannews', 'inflation', 'fundraiser', 'canada', 'eventcancelled', 'entertainment']",['https://t.co/tiKFf8TFHY']
1645252360493727744,abt_live,saskatoons #ribfest not please follow to support #rotaryclubofsaskatoonnutana #foodprices #saskatoonnews #canada #festival #fundraiser #inflation #entertainment #saskatchewannews #eventcancelled #food,"['ribfest', 'rotaryclubofsaskatoonnutana', 'foodprices', 'saskatoonnews', 'canada', 'festival', 'fundraiser', 'inflation', 'entertainment', 'saskatchewannews', 'eventcancelled', 'food']",['https://t.co/tiKFf8TFHY']
1645251255575486464,A1Aust,looks like kick is becoming the new goto platform for entertainment does anyone think i have a good face for streaming im looking to get in on this revolution #streaming #livestreaming #entertainment #talent #kickstreamimg #creators #globalaudience,"['streaming', 'livestreaming', 'entertainment', 'talent', 'kickstreamimg', 'creators', 'globalaudience']",[]
1645250929879560192,azdalesford,cotton candy vending machine club bar style support custom theme 100 theme styles are suitable for all places #bars #nightclub #nightlife #entertainment #playground ,"['bars', 'nightclub', 'nightlife', 'entertainment', 'playground']",['https://t.co/nFqKP4GUnG']
1645250545395937283,cirrkus,horoscopes for the week of april 9th #entertainment #celebrity ,"['entertainment', 'celebrity']","['https://t.co/rnbG9LPXgs', 'https://t.co/t5HIy6B7cw']"
1645250406576947200,sevengsfashion,#btbsavage was bragging to much #entertainment via youtube,"['btbsavage', 'entertainment']",['https://t.co/Xr4XZroity']
