tweet_id,username,text,hashtags,links
1645255551935291393,CNN,the boston bruins made national hockey league history sunday night when they secured a 53 victory over the philadelphia flyers ,[],['https://t.co/amKQhwcRhf']
1645252806083768321,CNN,an imam is in stable condition after being stabbed during a morning prayer service at a mosque in paterson new jersey officials say ,[],['https://t.co/H8ODzyHzij']
1645249000210087936,CNN,what autism awareness month means for families living with it yearround ,[],['https://t.co/HkfvMl1wve']
1645245238565388293,CNN,we did not plan a vacation we planned an adventure these two texas grandmas just took the trip of lifetime traveling the world together in 80 days ,[],"['https://t.co/TEJzqk28PZ', 'https://t.co/DLMGFuEdte']"
1645237683361292292,CNN,major league soccer says its investigating allegations that a player made a racist remark during saturdays new york red bulls and san jose earthquakes match ,[],['https://t.co/nNv3hzteXu']
1645230145513422851,CNN,get moving at the movies cardio cinema is keeping people entertained during workouts ,[],['https://t.co/pFpvCn9tbI']
1645222607023636481,CNN,three years after the start of the covid19 pandemic americans views of the diseases impact have stagnated into a complex set of mixed feelings recent polling suggests ,[],['https://t.co/Rqnfj4sKhF']
1645215047264657409,CNN,can ai create a professional headshot for your linkedin profile ,[],"['https://t.co/s1utIfeTP4', 'https://t.co/G5Hs7jZ5Vt']"
1645208381211246592,CNN,jon rahm won the 2023 masters clinching his first green jacket and second career major championship ,[],['https://t.co/dvtizblisU']
1645207499534917633,CNN,some legal experts say the way the manhattan da is prosecuting donald trump could be risky a former prosecutor breaks down the strategies at play on the one thing podcast ,[],"['https://t.co/Z9xE6tEiTY', 'https://t.co/IxFDhMAXyl']"
1645206386664505347,CNN,michael lerner a veteran character actor who received an oscar nomination for his performance in barton fink has died he was 81 ,[],['https://t.co/SiR7wM6sKl']
1645199957018783745,CNN,these are the most popular easter candies ,[],['https://t.co/MHnWrp1hmB']
1645196148645175298,CNN,buckingham palace on sunday revealed further details ahead of the coronation of king charles iii which will take place in london in less than a months time ,[],['https://t.co/X2q7HQaDSx']
1645192390406176768,CNN,evalongorias breathtaking culinary journey through mexico continues tonight at 9 pm etpt dont miss the new episode of the cnn original series #searchingformexico ,['searchingformexico'],['https://t.co/QK6Bsgj2ov']
1645184845520289795,CNN,see how the animals at a uk zoo got into the easter spirit ,[],['https://t.co/yhIrCIb0KQ']
1645177297438220288,CNN,the factory will be able to produce 10000 megapacks very large batteries used to store utilityscale amounts of electricity per year ,[],['https://t.co/wY9xgXKEJ4']
1645169747938476040,CNN,owen wilson channels his inner bob ross in paint ,[],"['https://t.co/AqpCAYIGXE', 'https://t.co/HX48nZ4WHS']"
1645162194894454784,CNN,unsettled by a repeating dream about losing your teeth or running late for school read on ,[],['https://t.co/Yh037TnadO']
1645154891789115395,CNN,the uk prepares to crown a new sovereign ,[],['https://t.co/JQAqSGEsDO']
1645147111153868804,CNN,the super mario bros movie poweredup at the box office with an impressive opening ,[],['https://t.co/rhrtrJ3rth']
1645143324116787206,CNN,why is everyone talking about their attachment style audiecornish looks at how therapy speak has taken over the internet and our daily lives on #theassignment ,['theassignment'],"['https://t.co/sFlnTFnvhO', 'https://t.co/9PeIaYMWJy']"
1645139540900757507,CNN,pope francis presides over easter mass at the vatican ,[],['https://t.co/XWmadzzwqN']
1645131486666932227,CNN,molly shannon reprised her sally omalley character as she returned to saturday night live as host ,[],['https://t.co/FpN4tjUBfW']
1645124199235694592,CNN,moose on the loose an alaskan hospital had an unlikely visitor ,[],['https://t.co/gr2YKP2HNQ']
1645116918079135751,CNN,they simply grew apart taylor swift and actor joe alwyn have broken up after six years together a source close to the pop star says ,[],['https://t.co/zprfzjiyWH']
1645113607611637761,CNN,a third juvenile suspect who was sought in connection with the recent shooting deaths of three teenagers in central florida has been arrested police say ,[],['https://t.co/XJ1qM43IjV']
1645113123332825088,CNN,evalongoria cant get enough of the food wonders in oaxaca join her culinary adventure in a new episode of the cnn original series #searchingformexico tonight at 9 pm etpt ,['searchingformexico'],['https://t.co/Ay0Cd5p5iA']
1645109086675927044,CNN,get moving at the movies cardio cinema is keeping people entertained during workouts ,[],['https://t.co/77g07Is8ny']
1645101531580997632,CNN,one person has died and nearly a dozen more were injured after a 13yearold crashed into two other vehicles while leading police on a chase in a stolen vehicle authorities say ,[],['https://t.co/MmLWGR6bfc']
1645094036649246720,CNN,why predictions about the decline of christianity in america may be premature analysis ,[],['https://t.co/C0yqgFAP8l']
1645089216672432134,CNN,health and human services secretary xavier becerra says everything is on the table following a texas federal judges ruling to suspend the fdas approval of the medication abortion drug mifepristone ,[],"['https://t.co/Tk0NLZwafb', 'https://t.co/Ao2pAYqSx6']"
1645079154507800577,CNN,"a child and two adults were fatally shot in a domestic violence incident overnight sunday in orlando
",[],['https://t.co/whRHNot7jv']
1645078701028016128,CNN,americans views of the economy are the best theyve been in more than a year but most still say its in poor shape a new cnn poll finds ,[],"['https://t.co/O0Veh77vgJ', 'https://t.co/131cSo8Lrt']"
1645071586913841153,CNN,"this month marks two years since oksana markarova became ukraines ambassador to the us she was less than a year into her post when russian leader vladimir putin invaded her country last year
",[],['https://t.co/QesZFoRZOd']
1645070673507745792,CNN,rep alexandria ocasiocortez backs impeaching justice clarence thomas over luxury travel paid for by a republican donor ,[],"['https://t.co/DO5qqwUHff', 'https://t.co/fx3KXM4c0g']"
1645065303884177411,CNN,"democratic sen richard blumenthal will undergo routine surgery after he fractured his femur at a university of connecticut mens basketball victory parade
",[],['https://t.co/tRyxMcM6yQ']
1645065265984557057,CNN,rep tony gonzales rtx reacts to the biden administrations plan after a federal judge issued a ruling that could prevent access to a medication abortion drug cnnsotu #cnnsotu ,['cnnsotu'],['https://t.co/5ReUzxcA2h']
1645061500812271618,CNN,rep alexandria ocasiocortez dny calls for impeaching supreme court justice clarence thomas after he did not disclose luxury trips he took with a prominent gop donor cnnsotu #cnnsotu ,['cnnsotu'],['https://t.co/OJtqRuBYjy']
1645060253900210176,CNN,"us customs and border protection officers in philadelphia have seized counterfeit auto parts worth nearly 200000 the agency said
",[],['https://t.co/F61bNvACHi']
1645058255314460680,CNN,a look at the legacy of the good friday agreement after 25 years ,[],['https://t.co/HUMc6Fvxj4']
1645056494813999107,CNN,"theres been a seismic shift in investor perspective bad news is no longer good news
",[],['https://t.co/x0ZZZSvB5r']
1645055147419095041,CNN,we want the courts to overturn this reckless decision us health and human services secretary xavier becerra explains the biden administrations plan after a federal judge issued a ruling that could prevent access to an abortioninducing medication cnnsotu #cnnsotu ,['cnnsotu'],['https://t.co/HnJi5J5M90']
1645052726152253442,CNN,last week we got our first look at the case prosecutors have brought against donald trump when the 34count indictment was unsealed eliehonig breaks down the legal strategies on both sides on the one thing podcast ,[],"['https://t.co/5ks8fuPKDL', 'https://t.co/bpp0BDuYwI']"
1645052718367555584,CNN,here are 5 things you need to know today 1 china and taiwan 2 medication abortion 3 justice clarence thomas 4 apparent document leaks 5 hamburg fire ,[],['https://t.co/iS4hqE4JOD']
1645045189818437636,CNN,"the union representing thousands of los angeles school workers has voted overwhelmingly to approve a new contract with the los angeles unified school district
",[],['https://t.co/viaNQCUT2F']
1645040123195654146,CNN,expert says one consumer behavior could be driving up car prices ,[],['https://t.co/WJW6GBfIMl']
1645035734150119426,CNN,"tiger woods has withdrawn from the masters due to an injury
",[],['https://t.co/Fyiy0WP2T4']
1645030052524949504,CNN,"the covid19 virus may have originated from humans a chinese scientist has claimed
",[],['https://t.co/d9UvdK5NUJ']
1645026299587575808,CNN,"the sound of the klaxon which brought the third day of the masters to an early end may have been music to tiger woods ears after the golf great endured a torrid start to his third round
",[],['https://t.co/OwEuvU3uuI']
1645022511204118528,CNN,"heres how to figure out whats triggering your recurring dreams
",[],['https://t.co/fuEVLeJzB5']
1645019993665421313,CNN,see 5 of the most beautiful spots on the great wall of china ,[],['https://t.co/muyLwapvug']
1645018764679823361,CNN,"during world war ii the federal government spent more than 1 billion in todays dollars to help provide affordable child care for mothers who entered the workforce
",[],['https://t.co/E2SvUtp8zP']
1645017484951535623,CNN,just a third of americans say president joe biden deserves to be reelected according to a new cnn poll ,[],"['https://t.co/ZE2ycQLGbl', 'https://t.co/R4OR9zEHm7']"
1645014978913599489,CNN,"725 of privatesector organizations said they did not have employees working remotely
",[],['https://t.co/DKYxjFmfQK']
1645011174813990913,CNN,"all boston residents are now eligible for tuitionfree schooling at six community colleges
",[],['https://t.co/ccZwq3CbgC']
1645008677366112258,CNN,traveling grandmas visit 8 world wonders on the trip of a lifetime ,[],['https://t.co/gZVRjzrfbD']
1645007426343653376,CNN,"two police officers and another person were killed in an exchange of gunfire during a traffic stop in northwestern wisconsin
",[],['https://t.co/R4pmATgkzv']
1645003639130390528,CNN,a shortage of air traffic controllers has major airlines considering summer schedule cuts to prevent delays ,[],"['https://t.co/622d4kqQjk', 'https://t.co/jrlJhTJHAP']"
1645002159468032000,CNN,"benjamin ferencz the last surviving prosecutor from the nuremberg trials has died aged 103
",[],['https://t.co/WkQhJb6Sv9']
1644999868132347904,CNN,"young people are still exposed to the trauma of the troubles 25 years on as clashes over identity and constitutional issues continue to dictate political discourse
",[],['https://t.co/hjNvdSxYIS']
1644996101651537921,CNN,the new starbucks drink has a potentially fragile combination caffeine which is a stimulant and olive oil which is a relaxant ,[],['https://t.co/rrn7Dt6BTH']
1644992327654440961,CNN,"at least five people died in a headon crash in georgia on saturday afternoon authorities said
",[],['https://t.co/xiULj7kG5f']
1644988590642823168,CNN,us district judge thomas owen rice of the eastern district of washington an appointee of former president barack obama ordered the federal government to keep mifepristone available in 17 states plus the district of columbia ,[],['https://t.co/fVmVt3wZcY']
1644980994225651714,CNN,a us citizen of iranian descent living in california was sentenced to four years in prison for crimes related to the attempted kidnapping plot of a new yorkbased journalist and human rights activist according to federal court documents ,[],['https://t.co/Nsnut1c1Pm']
1644976071257862145,CNN,pope to preside over easter mass at vatican ,[],['https://t.co/XJgzLApV8j']
