tweet_id,username,text,hashtags,links
1646297781517053954,CNN,in an exclusive cnn interview wolfblitzer asks ukrainian prime minister denys shmyhal about the two social media videos that purport to show beheaded ukrainian soldiers watch ,[],['https://t.co/zvgKRhCCpZ']
1646297171145154561,CNN,grocery prices finally dipped in march falling for the first time since september 2020 according to data released wednesday by the bureau of labor statistics ,[],['https://t.co/xAKbL8KW1n']
1646292136302706689,CNN,the us government is planning to change auto emissions standards in a way that means automakers would need to sell a lot more electric vehicles ,[],['https://t.co/vArQYLDTZ3']
1646287155570921474,CNN,the settlement will force retailers to secure juul products behind counters and verify the age of purchasers and juul must cease using people under 35 years old in its marketing materials that directly or indirectly target young people ,[],['https://t.co/IcdNBbeXh8']
1646282076499456004,CNN,an elephant at a german zoo has become the subject of a scientific study because of her special skill she likes to peel her bananas ,[],['https://t.co/oQuAH5sO32']
1646277044685160452,CNN,banks lost 301 on average for every mortgage they financed in 2022 ,[],"['https://t.co/CNbr1lCmuo', 'https://t.co/p0aVfuXOq5']"
1646275596706541568,CNN,following multiple mass shootings and ongoing calls for gun reform cnns jaketapper presses rep byron donalds rfl on his stance on gun ownership watch ,[],['https://t.co/RVp5CTShNj']
1646272080390791175,CNN,go inside the life of one of the greatest american music icons cnns new podcast #theprincemixtape digs deep into the most iconic stories from princes life listen to the trailer ,['theprincemixtape'],"['https://t.co/UYTxzJi4GY', 'https://t.co/ZTqNMNSnkh']"
1646266960768892928,CNN,experts say that inclusive campaigns are in fact often lucrative for businesses serving as an important tool to reach key demographics ,[],['https://t.co/A5tZX7g2s7']
1646261942586077184,CNN,could this new england town have the best chocolate pastry outside of france ,[],"['https://t.co/TKbpNShx4I', 'https://t.co/vVmvo66B86']"
1646256941818077188,CNN,the us postal service said that it filed a notice with its regulators to increase prices on firstclass mail stamps to 66 cents from 63 cents ,[],['https://t.co/jqmllIeGdY']
1646251862444654592,CNN,british actress millie bobby brown has fans thinking she and partner jake bongiovi are engaged ,[],"['https://t.co/qLndJS3WCV', 'https://t.co/eYkOADhoEm']"
1646246874326659076,CNN,the legislation known as the social media safety act is aimed at giving parents more control over their kids social media usage according to lawmakers ,[],['https://t.co/49pfjcyxXd']
1646245126727974916,CNN,"judge in dominionfox news case sanctions fox lawyers will appoint third party to probe whether the network lied to the court and withheld evidence
",[],['https://t.co/iwbox6kDOL']
1646241867623800835,CNN,though the red cross has previously given out tshirts tied to other partnerships to donors this particular shirt has gone viral on tiktok thus becoming a hot commodity ,[],['https://t.co/Lcznll1pRT']
1646238021493063684,CNN,jane krakowski says learning how to navigate flying trapeze was just one of the perks of joining schmigadoon ,[],['https://t.co/mQav3WiSim']
1646234261702287362,CNN,how chelsea changed soccer forever ,[],"['https://t.co/vj7QPWjScb', 'https://t.co/YUc2jXqLU2']"
1646232240840376320,CNN,the mother of the shooter who killed five people at old national bank in louisville kentucky on monday called 911 after hearing secondhand that her son had a gun and was heading toward the bank according to 911 calls released by police wednesday ,[],['https://t.co/YSCEUOfEAG']
1646230881512587282,CNN,donald trump is suing michael cohen for 500 million in damages for allegedly breaching his contract as trumps former personal attorney ,[],['https://t.co/BjFlMZWdSv']
1646228388607131648,CNN,memphis commissioners reappoint justin j pearson to the tennessee house as an interim representative days after gop lawmakers ousted him ,[],['https://t.co/TCS74n3GuO']
1646224562466455579,CNN,the search for new york citys firstever rat czar has come to an end ,[],['https://t.co/v3eaEjUboB']
1646220113895456770,CNN,warner bros discovery has unveiled the longawaited max its highstakes superstreamer that combines content from the companys top brands into a single service ,[],['https://t.co/4lWGtmgjlW']
1646219397239848960,CNN,kentucky has some of the least restrictive state gun laws and some of the highest firearm death rates in the nation ,[],['https://t.co/gaRiVsaudz']
1646215383261618176,CNN,chicago will host the 2024 democratic national convention ,[],"['https://t.co/6fTHrElkQ0', 'https://t.co/Nbv8y25CQh']"
1646211609428205569,CNN,arnold schwarzenegger is not just an action star hes also a man of action ,[],['https://t.co/7VZNI8BnhZ']
1646207823406153739,CNN,experts believe hypoactive sexual desire disorder or hsdd affects at least 10 of women and up to 8 of men ,[],['https://t.co/a4OJk4lusl']
1646204075153801226,CNN,rainn wilson who starred as dwight schrute in the office was right next to an unsuspecting seatmate watching the actor in an episode of the hit show on a recent flight ,[],['https://t.co/ExPpNsbfxE']
1646200304000548874,CNN,a lawmaker whos a single mom reveals the shocking advice she received ,[],"['https://t.co/oecz0flDRa', 'https://t.co/wJ0lFuy48V']"
1646196543991562261,CNN,actor jeremy renner made his first red carpet appearance since he sustained serious injuries after being crushed by a snowplow near his nevada home in january ,[],['https://t.co/mMTzxz79UG']
1646192738226806784,CNN,who says romance is dead couples are using chatgpt to write their wedding vows ,[],['https://t.co/rXirc25l3L']
1646188992545669120,CNN,this man found himself waist deep in a hippos throat twice and lived to tell the tale this is his advice for dealing with one of africas most intriguing and dangerous animals ,[],['https://t.co/ZMiVrc2UBN']
1646185176358170624,CNN,the pace of us consumer price increases continued to cool down in march from last summers scorchinghot levels ,[],"['https://t.co/ykN5kpI0d4', 'https://t.co/A85s3C5ncR']"
1646181660767993858,CNN,meet pocketsized pearl the worlds shortest dog ,[],['https://t.co/KbsBT4Wp5M']
1646177655664918531,CNN,granger smith has announced that he is leaving the music industry to focus on ministry ,[],['https://t.co/UqKdoA2vDu']
1646174309176442881,CNN,the fbi is warning consumers against using public phone charging stations in order to avoid exposing their devices to malicious software ,[],['https://t.co/uqpTCRAoo5']
1646173615463841794,CNN,the environmental protection agency has proposed ambitious new car pollution rules that could require electric vehicles to account for up to twothirds of new cars sold in the us by 2032 ,[],"['https://t.co/QjjWaM1ez6', 'https://t.co/DEpAr775nE']"
1646170088112889856,CNN,see a rare poppy super bloom in california ,[],['https://t.co/BXHvg1Pa0Q']
